2023-05-09 12:20:22.031986: iter: [12/30], train_loss: -1.367766, valid_loss: 0.438782
2023-05-09 13:43:58.332500: iter: [13/30], train_loss: -1.589608, valid_loss: 0.167309
2023-05-09 15:05:07.510153: iter: [14/30], train_loss: -1.779787, valid_loss: -0.185469
2023-05-09 16:29:14.645584: iter: [15/30], train_loss: -2.032634, valid_loss: -0.535431
2023-05-09 17:54:01.541181: iter: [16/30], train_loss: -2.248875, valid_loss: -0.534104
2023-05-09 19:19:30.548404: iter: [17/30], train_loss: -2.481083, valid_loss: -1.059577
2023-05-09 20:39:23.660149: iter: [18/30], train_loss: -2.716916, valid_loss: -1.014782
2023-05-09 21:56:42.717047: iter: [19/30], train_loss: -2.970359, valid_loss: -1.026207
2023-05-14 20:12:34.125520: iter: [1/30], train_loss: 0.456206, valid_loss: 0.377674
2023-05-14 20:59:43.580967: iter: [2/30], train_loss: 0.289331, valid_loss: 0.264102
2023-05-14 21:46:57.145951: iter: [3/30], train_loss: 0.161448, valid_loss: 0.114374
2023-05-14 22:33:40.021144: iter: [4/30], train_loss: 0.024123, valid_loss: 0.040206
2023-05-14 23:20:18.350973: iter: [5/30], train_loss: -0.182765, valid_loss: 0.036289
2023-05-15 00:06:58.599543: iter: [6/30], train_loss: -0.392798, valid_loss: 0.352535
2023-05-15 00:53:35.269324: iter: [7/30], train_loss: -0.579690, valid_loss: 0.269826
2023-05-15 01:37:49.782238: iter: [8/30], train_loss: -0.769073, valid_loss: 0.087545
2023-05-15 02:23:59.737549: iter: [9/30], train_loss: -0.978907, valid_loss: -0.261034
2023-05-16 17:32:10.917066: iter: [1/30], train_loss: 0.385281, valid_loss: 0.296172
2023-05-16 18:05:15.343884: iter: [2/30], train_loss: 0.227341, valid_loss: 0.200478
2023-05-16 18:38:14.708014: iter: [3/30], train_loss: 0.106065, valid_loss: 0.107947
2023-05-16 19:11:06.518443: iter: [4/30], train_loss: -0.030553, valid_loss: -0.011025
2023-05-16 19:44:04.219901: iter: [5/30], train_loss: -0.184081, valid_loss: -0.091345
2023-05-16 20:16:59.738478: iter: [6/30], train_loss: -0.344499, valid_loss: -0.150436
2023-05-16 20:50:03.319992: iter: [7/30], train_loss: -0.501954, valid_loss: -0.228807
2023-05-16 21:21:33.454042: iter: [8/30], train_loss: -0.677489, valid_loss: -0.260478
2023-05-16 21:54:33.445382: iter: [9/30], train_loss: -0.845711, valid_loss: -0.191972
2023-05-16 22:27:27.809523: iter: [10/30], train_loss: -1.044317, valid_loss: 0.152314
2023-05-16 23:00:30.264585: iter: [11/30], train_loss: -1.221396, valid_loss: 0.184120
2023-05-16 23:33:19.206653: iter: [12/30], train_loss: -1.443764, valid_loss: -0.333265
2023-05-17 00:06:07.864972: iter: [13/30], train_loss: -1.630420, valid_loss: -0.201818
2023-05-17 00:39:03.213050: iter: [14/30], train_loss: -1.856582, valid_loss: -0.197708
2023-05-17 01:11:47.598205: iter: [15/30], train_loss: -2.104261, valid_loss: -0.462509
2023-05-17 01:44:36.034503: iter: [16/30], train_loss: -2.336631, valid_loss: -0.759592
